[['126.982650', '2.833997', '0.000000'], ['125.855781', '3.062777', '0.000000']]
[['125.855781', '3.062777', '0.000000'], ['124.725641', '3.274812', '0.000000']]
[['124.725641', '3.274812', '0.000000'], ['123.592480', '3.470057', '0.000000']]
[['123.592480', '3.470057', '0.000000'], ['122.456547', '3.648469', '0.000000']]
[['122.456547', '3.648469', '0.000000'], ['121.318093', '3.810007', '0.000000']]
[['121.318093', '3.810007', '0.000000'], ['120.177366', '3.954637', '0.000000']]
[['120.177366', '3.954637', '0.000000'], ['119.034620', '4.082327', '0.000000']]
[['119.034620', '4.082327', '0.000000'], ['117.890105', '4.193048', '0.000000']]
[['117.890105', '4.193048', '0.000000'], ['116.744073', '4.286777', '0.000000']]
[['116.744073', '4.286777', '0.000000'], ['115.596776', '4.363492', '0.000000']]
[['115.596776', '4.363492', '0.000000'], ['114.448468', '4.423177', '0.000000']]
[['114.448468', '4.423177', '0.000000'], ['113.299400', '4.465818', '0.000000']]
[['113.299400', '4.465818', '0.000000'], ['112.149896', '4.491405', '0.000000']]
[['112.149896', '4.491405', '0.000000'], ['111.005633', '4.500000', '0.000000']]
[['111.005633', '4.500000', '0.000000'], ['82.500000', '4.500000', '0.000000']]
[['82.500000', '4.500000', '0.000000'], ['53.994367', '4.500000', '0.000000']]
[['53.994367', '4.500000', '0.000000'], ['52.850104', '4.491405', '0.000000']]
[['52.850104', '4.491405', '0.000000'], ['51.700600', '4.465818', '0.000000']]
[['51.700600', '4.465818', '0.000000'], ['50.551532', '4.423177', '0.000000']]
[['50.551532', '4.423177', '0.000000'], ['49.403224', '4.363492', '0.000000']]
[['49.403224', '4.363492', '0.000000'], ['48.255927', '4.286777', '0.000000']]
[['48.255927', '4.286777', '0.000000'], ['47.109895', '4.193048', '0.000000']]
[['47.109895', '4.193048', '0.000000'], ['45.965380', '4.082327', '0.000000']]
[['45.965380', '4.082327', '0.000000'], ['44.822634', '3.954637', '0.000000']]
[['44.822634', '3.954637', '0.000000'], ['43.681907', '3.810007', '0.000000']]
